,Flat,Semi-Furnished,Unfurnished,Resale,Ready to Move,"Delhi,","Dwarka,","East,","Faridabad,","Ghaziabad,","Gurgaon,","Noida,","North,","Rohini,","South,","West,",Unnamed: 0,price,area,latitude,longitude,Bedrooms,Bathrooms,Balcony,parking,Lift,Price_sqft,has_landmark
0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5600000.0,1350.0,28.60885,77.46056,3.0,3.0,0.0,0.0,2.0,4148.148148148148,0.0
1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,8800000.0,1490.0,28.37423557,76.95241631,3.0,3.0,0.0,0.0,2.0,5906.040268456376,0.0
2,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,2,16500000.0,2385.0,28.645769,77.38511,4.0,5.0,0.0,1.0,0.0,6918.238993710692,0.0
3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3810000.0,1050.0,28.566914,77.436434,2.0,2.0,3.0,1.0,2.0,3628.571428571429,1.0
4,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,4,6200000.0,1350.0,28.520732,77.356491,2.0,2.0,3.0,1.0,3.0,4592.592592592592,0.0
5,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,5,3700000.0,1150.0,28.62804,77.437809,2.0,2.0,3.0,0.0,0.0,3217.391304347826,0.0
6,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,6,3270000.0000000005,890.0,28.610645,77.455837,2.0,2.0,3.0,1.0,2.0,3674.157303370787,1.0
7,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,7,3990000.0,850.0,28.471233,76.969597,2.0,2.0,1.0,1.0,0.0,4694.117647058823,1.0
8,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,8,3500000.0,960.0,28.5814311,77.4528192,2.0,2.0,2.0,0.0,0.0,3645.8333333333335,0.0
9,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,9,5500000.0,1400.0,28.614181,77.427713,3.0,3.0,4.0,1.0,2.0,3928.571428571429,1.0
10,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,10,7300000.0,850.0,28.72407531738281,77.0955810546875,3.0,2.0,1.0,2.0,1.0,8588.235294117647,1.0
11,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,11,7700000.0,1250.0,28.436305,77.13605,2.0,2.0,2.0,0.0,0.0,6160.0,0.0
12,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,12,10500000.0,1615.0,28.513139724731445,77.02595520019531,3.0,3.0,3.0,0.0,0.0,6501.547987616099,1.0
13,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,13,7200000.0,1200.0,28.5074613813646,77.4078166697626,2.0,2.0,3.0,0.0,0.0,6000.0,1.0
14,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,14,7000000.0,1690.0,28.679009,77.3492951427093,3.0,3.0,0.0,0.0,0.0,4142.011834319526,0.0
15,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,15,9500000.0,1000.0,28.721435546875,77.10701751708984,3.0,2.0,1.0,2.0,1.0,9500.0,1.0
16,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,16,15000000.0,1450.0,28.72721290588379,77.09606170654297,4.0,3.0,1.0,2.0,1.0,10344.827586206897,1.0
17,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,17,4800000.0,1175.0,28.616078045953845,77.42810224734058,2.0,2.0,0.0,0.0,0.0,4085.106382978724,0.0
18,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,18,5100000.0,1087.0,28.6443099975586,77.331787109375,2.0,2.0,2.0,1.0,2.0,4691.8123275069,1.0
19,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,19,14000000.0,1845.0,28.5469297107013,77.3543872945106,3.0,3.0,3.0,2.0,2.0,7588.075880758807,1.0
20,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,20,6250000.0,1400.0,28.449384,76.98441,2.0,2.0,2.0,0.0,0.0,4464.285714285715,0.0
21,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,21,8700000.0,1600.0,28.423049,77.08741,3.0,2.0,1.0,0.0,0.0,5437.5,1.0
22,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,22,13000000.0,1950.0,28.5697371550333,77.3324116681809,3.0,3.0,2.0,0.0,0.0,6666.666666666667,0.0
23,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,23,15000000.0,1800.0,28.529146,77.355843,2.0,3.0,1.0,0.0,0.0,8333.333333333334,0.0
24,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,24,5500000.0,1440.0,28.587499354879053,77.44316979301459,3.0,2.0,5.0,1.0,2.0,3819.444444444444,1.0
25,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,25,4200000.0,1040.0,28.616204,77.422256,2.0,2.0,3.0,2.0,3.0,4038.4615384615386,1.0
26,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,26,3900000.0,1025.0,28.57223,77.474898,2.0,2.0,3.0,1.0,2.0,3804.878048780488,1.0
27,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,27,10000000.0,1836.0,28.6571606,77.355748,3.0,2.0,0.0,0.0,0.0,5446.623093681917,0.0
28,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,28,7600000.0,1350.0,28.645769,77.38511,3.0,2.0,4.0,1.0,3.0,5629.62962962963,1.0
29,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,29,3900000.0,800.0,28.387731,76.96791987,2.0,2.0,1.0,0.0,2.0,4875.0,1.0
30,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,30,9000000.0,1481.0,28.49744987487793,77.02709197998047,2.0,2.0,2.0,2.0,2.0,6076.975016880486,1.0
31,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,31,8350000.0,1398.0,28.5434121846104,77.367853,2.0,2.0,2.0,1.0,3.0,5972.818311874106,1.0
32,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,32,13500000.0,2150.0,28.435208771263,77.0902252334016,3.0,3.0,4.0,1.0,0.0,6279.069767441861,0.0
33,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,33,5310000.0,1100.0,28.6467392,77.3709475,3.0,2.0,0.0,0.0,0.0,4827.272727272727,0.0
34,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,34,15000000.0,1960.0,28.3907304,77.05782257,3.0,3.0,0.0,0.0,0.0,7653.061224489796,0.0
35,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,35,17500000.0,2450.0,28.482277,76.99199526,3.0,3.0,3.0,2.0,2.0,7142.857142857143,1.0
36,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,36,5000000.0,1000.0,28.5604873040921,77.384084,2.0,2.0,3.0,1.0,2.0,5000.0,0.0
37,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,37,3500000.0,850.0,28.559850692749023,77.24765014648438,2.0,2.0,1.0,0.0,0.0,4117.64705882353,0.0
38,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,38,4550000.0,950.0,28.50809,77.2314673,3.0,2.0,1.0,1.0,1.0,4789.473684210527,1.0
